station,lat,lng,,,,,,,,
양재,37.484147,127.034631,0,,,,,,,
정자,37.36706,127.108105,1,,,,,,,
강남구청,37.517186,127.04128,2,,,,,,,
선릉,37.504503,127.049008,2,,,,,,,
효창공원앞,37.539261,126.961351,2,,,,,,,
태릉입구,37.617983,127.07512,2,,,,,,,
검암,37.569104,126.673728,1,,,,,,,
주안,37.464941,126.679923,1,,,,,,,
인천,37.476691,126.616936,2,,,,,,,
인천시청,37.457405,126.702221,0,,,,,,,
청량리,37.580178,127.046835,0,,,,,,,
중랑,37.594917,127.076116,1,,,,,,,
충정로,37.559973,126.963672,0,,,,,,,
청구,37.560245,127.013828,2,,,,,,,
성신여대입구,37.592624,127.016403,0,,,,,,,
보문,37.585286,127.019381,2,,,,,,,
계양,37.571462,126.735637,1,,,,,,,
기흥,37.275619,127.115936,1,,,,,,,
옥수,37.540685,127.017965,2,,,,,,,
도곡,37.490858,127.055381,2,,,,,,,
수서,37.487371,127.10188,2,,,,,,,
용산,37.529849,126.964561,1,,,,,,,
종각,37.570161,126.982923,1,,,,,,,
종로5가,37.570926,127.001849,1,,,,,,,
제기동,37.578103,127.034893,1,,,,,,,
을지로입구,37.566014,126.982618,1,,,,,,,
탑석,37.733579,127.088704,0,,,,,,,
4.19민주묘지,,,1,,,,,,,
가오리,,,1,,,,,,,
화계,,,1,,,,,,,
한티,37.496237,127.052873,1,,,,,,,
구룡,37.486839,127.058856,1,,,,,,,
홍제,37.589066,126.943736,1,,,,,,,
김유정,37.818466,127.71434,1,,,,,,,
남춘천,37.864007,127.723792,1,,,,,,,
풍기,,,0,,,,,,,
성균관대,37.300349,126.97075,1,,,,,,,
경찰병원,37.495918,127.12454,1,,,,,,,
구일,37.496756,126.870793,1,,,,,,,
야탑,37.411185,127.128715,1,,,,,,,
삼송,37.653083,126.895558,1,,,,,,,
화정,37.634592,126.83265,1,,,,,,,
영등포시장,37.522669,126.905139,1,,,,,,,
상일동,37.556712,127.166417,1,,,,,,,
공릉,37.625742,127.072896,0,,,,,,,
상도,37.502834,126.94791,1,,,,,,,
박촌,37.553703,126.745077,0,,,,,,,
구성,37.298969,127.105664,1,,,,,,,
인하대,37.448493,126.649619,1,,,,,,,
숭의,37.460789,126.638297,1,,,,,,,
센트럴파크,37.393054,126.634729,0,,,,,,,
국제업무지구,37.399907,126.630347,0,,,,,,,
강매,37.612314,126.843223,1,,,,,,,
달월,37.379681,126.745177,1,,,,,,,
원흥,37.650658,126.872642,1,,,,,,,
완정,37.592928,126.673203,0,,,,,,,
지평,,,1,,,,,,,
석바위시장,37.457611,126.692575,0,,,,,,,
상왕십리,37.564354,127.029354,1,,,,,,,
한양대,37.555273,127.043655,1,,,,,,,
뚝섬,37.547184,127.047367,1,,,,,,,
성수,37.544581,127.055961,1,,,,,,,
청계산입구,37.447211,127.055664,0,,,,,,,
북한산우이,,,1,,,,,,,
구의,37.537077,127.085916,0,,,,,,,
잠실나루,37.520733,127.10379,1,,,,,,,
잠실새내,37.511687,127.086162,1,,,,,,,
삼성,37.508844,127.06316,0,,,,,,,
역삼,37.500622,127.036456,1,,,,,,,
서초,37.491897,127.007917,1,,,,,,,
방배,37.481426,126.997596,1,,,,,,,
낙성대,37.47693,126.963693,1,,,,,,,
서울대입구,37.481247,126.952739,0,,,,,,,
봉천,37.482362,126.941892,1,,,,,,,
신림,37.484201,126.929715,1,,,,,,,
신대방,37.487462,126.913149,1,,,,,,,
구로디지털단지,37.485266,126.901401,1,,,,,,,
문래,37.517933,126.89476,1,,,,,,,
신촌,37.555134,126.936893,2,,,,,,,
이대,37.556733,126.946013,1,,,,,,,
아현,37.557345,126.956141,1,,,,,,,
용답,37.561904,127.050899,1,,,,,,,
신답,37.57004,127.046481,1,,,,,,,
도림천,37.514287,126.882768,1,,,,,,,
양천구청,37.512398,126.865819,1,,,,,,,
신정네거리,37.520074,126.852912,1,,,,,,,
용두,37.574028,127.038091,0,,,,,,,
지축,37.648048,126.913951,1,,,,,,,
구파발,37.636763,126.918821,1,,,,,,,
녹번,37.600927,126.935756,1,,,,,,,
무악재,37.582299,126.950291,1,,,,,,,
독립문,37.574571,126.957748,1,,,,,,,
경복궁,37.575762,126.97353,0,,,,,,,
안국,37.576477,126.985443,1,,,,,,,
동대입구,37.559052,127.005602,1,,,,,,,
금호,37.548034,127.015872,1,,,,,,,
압구정,37.527072,127.028461,1,,,,,,,
신사,37.516334,127.020114,1,,,,,,,
잠원,37.512759,127.01122,1,,,,,,,
남부터미널,37.485013,127.016189,0,,,,,,,
매봉,37.486947,127.046769,1,,,,,,,
대치,37.494612,127.063642,1,,,,,,,
학여울,37.496663,127.070594,1,,,,,,,
대청,37.493514,127.079532,1,,,,,,,
일원,37.483681,127.08439,1,,,,,,,
당고개,37.670272,127.079066,1,,,,,,,
상계,37.660878,127.073572,1,,,,,,,
쌍문,37.648627,127.034709,1,,,,,,,
수유,37.638052,127.025732,0,,,,,,,
미아,37.62667,127.025983,0,,,,,,,
미아사거리,37.613292,127.030053,1,,,,,,,
길음,37.603407,127.025053,1,,,,,,,
한성대입구,37.588458,127.006221,0,,,,,,,
혜화,37.582336,127.001844,1,,,,,,,
명동,37.560989,126.986325,1,,,,,,,
회현,37.558514,126.978246,0,,,,,,,
숙대입구,37.54456,126.972106,0,,,,,,,
신용산,37.52917,126.967894,1,,,,,,,
남태령,37.463873,126.989134,1,,,,,,,
남영,37.541021,126.9713,1,,,,,,,
노량진,37.514219,126.942454,2,,,,,,,
대방,37.513342,126.926382,1,,,,,,,
영등포,37.515504,126.907628,1,,,,,,,
서빙고,37.519594,126.988537,1,,,,,,,
한남,37.52943,127.009169,1,,,,,,,
응봉,37.549946,127.034538,1,,,,,,,
외대앞,37.596073,127.063549,1,,,,,,,
신이문,37.601854,127.067325,1,,,,,,,
월계,37.633212,127.058831,1,,,,,,,
녹천,37.644799,127.051269,1,,,,,,,
개포동,37.489116,127.06614,1,,,,,,,
대모산입구,37.491373,127.07272,1,,,,,,,
양원,37.606596,127.107906,1,,,,,,,
구리,37.603392,127.143869,1,,,,,,,
도농,37.608806,127.161153,1,,,,,,,
양정,37.60533,127.19364,1,,,,,,,
덕소,37.586781,127.208832,1,,,,,,,
도심,37.579622,127.222672,1,,,,,,,
팔당,37.547371,127.243939,1,,,,,,,
운길산,37.554669,127.310115,1,,,,,,,
양수,37.545981,127.329098,1,,,,,,,
신원,37.525545,127.372921,1,,,,,,,
국수,37.516169,127.399367,1,,,,,,,
아신,37.51382,127.443173,1,,,,,,,
오빈,37.506062,127.473868,1,,,,,,,
양평(경의중앙선),37.492832,127.491814,0,,,,,,,
원덕,37.468672,127.547076,1,,,,,,,
용문,37.48223,127.594647,1,,,,,,,
서울(경의중앙선),37.556328,126.969522,0,,,,,,,
신촌(경의중앙선),37.559783,126.942319,0,,,,,,,
서강대,37.551881,126.935711,1,,,,,,,
가좌,37.568491,126.915487,1,,,,,,,
수색,37.580842,126.895611,1,,,,,,,
화전,37.602888,126.868387,1,,,,,,,
행신,37.612102,126.834146,1,,,,,,,
능곡,37.618808,126.820783,1,,,,,,,
곡산,37.645676,126.801762,1,,,,,,,
백마,37.658239,126.794461,1,,,,,,,
풍산,37.672346,126.786243,1,,,,,,,
일산,37.682077,126.769846,1,,,,,,,
탄현,37.694023,126.761086,1,,,,,,,
야당,37.712327,126.761356,1,,,,,,,
운정,37.725826,126.767257,1,,,,,,,
금릉,37.751322,126.765347,1,,,,,,,
금촌,37.766217,126.774644,1,,,,,,,
월롱,37.796188,126.792587,1,,,,,,,
파주,37.815298,126.792783,1,,,,,,,
문산,37.854619,126.788047,1,,,,,,,
신내,37.612887,127.103218,1,,,,,,,
갈매,37.634118,127.114757,1,,,,,,,
별내,37.64202,127.12684,1,,,,,,,
퇴계원,37.648311,127.143952,1,,,,,,,
사릉,37.65108,127.176933,1,,,,,,,
금곡,37.637382,127.207853,1,,,,,,,
평내호평,37.653225,127.244493,1,,,,,,,
천마산,37.658978,127.285379,1,,,,,,,
마석,37.652782,127.311767,1,,,,,,,
대성리,37.684071,127.379319,1,,,,,,,
청평,37.735488,127.42661,1,,,,,,,
상천,37.770246,127.454821,1,,,,,,,
가평,37.814536,127.510739,1,,,,,,,
굴봉산,37.832067,127.557695,1,,,,,,,
백양리,37.830779,127.58933,1,,,,,,,
강촌,37.805723,127.634146,1,,,,,,,
춘천,37.885054,127.717023,1,,,,,,,
봉명,36.801215,127.135763,1,,,,,,,
쌍용(나사렛대),36.793759,127.1214,1,,,,,,,
아산,36.792053,127.104361,1,,,,,,,
탕정,,,0,,,,,,,
배방,36.777629,127.052991,1,,,,,,,
온양온천,36.780483,127.003249,1,,,,,,,
신창,36.769502,126.951108,0,,,,,,,
선바위,37.451673,127.002303,1,,,,,,,
경마공원,37.443885,127.007888,1,,,,,,,
대공원,37.435675,127.006523,1,,,,,,,
과천,37.433021,126.996568,1,,,,,,,
정부과천청사,37.426513,126.98978,1,,,,,,,
인덕원,37.401553,126.976715,1,,,,,,,
평촌,37.394287,126.963883,1,,,,,,,
범계,37.389793,126.950806,1,,,,,,,
삼동,37.409522,127.20336,1,,,,,,,
경기광주,37.399907,127.25263,1,,,,,,,
초월,37.374419,127.299,1,,,,,,,
곤지암,37.351315,127.34674,1,,,,,,,
신둔도예촌,37.317185,127.40476,1,,,,,,,
이천,37.265579,127.44226,1,,,,,,,
부발,37.260192,127.490277,1,,,,,,,
세종대왕릉,37.295309,127.570938,1,,,,,,,
여주,,,1,,,,,,,
구로,37.503039,126.881966,1,,,,,,,
금천구청,37.455626,126.89398,1,,,,,,,
석수,37.435047,126.902295,1,,,,,,,
관악,37.419232,126.908706,1,,,,,,,
안양,37.401592,126.922874,1,,,,,,,
명학,37.384653,126.935433,1,,,,,,,
군포,37.35356,126.948462,1,,,,,,,
의왕,37.320852,126.948217,1,,,,,,,
화서,37.283862,126.989627,1,,,,,,,
독산,37.466613,126.889249,1,,,,,,,
세류,37.245025,127.013222,1,,,,,,,
병점,37.207503,127.032731,1,,,,,,,
세마,37.187533,127.04318,1,,,,,,,
오산대,37.168953,127.063197,1,,,,,,,
오산,37.145885,127.06672,1,,,,,,,
진위,37.109447,127.062278,1,,,,,,,
송탄,37.075696,127.054301,1,,,,,,,
서정리,37.056496,127.052819,1,,,,,,,
지제,37.0188,127.070444,1,,,,,,,
평택,36.990726,127.085159,1,,,,,,,
성환,36.916076,127.126964,1,,,,,,,
직산,36.870593,127.143904,1,,,,,,,
두정,36.833705,127.14896,1,,,,,,,
천안,36.810005,127.146826,1,,,,,,,
당정,37.344285,126.948345,1,,,,,,,
서동탄,37.195504,127.051672,1,,,,,,,
광명,37.416182,126.884466,1,,,,,,,
산본,37.358101,126.933274,1,,,,,,,
대야미,37.328467,126.917332,1,,,,,,,
반월,37.312212,126.903524,1,,,,,,,
상록수,37.302795,126.866489,1,,,,,,,
한대앞,37.309689,126.85344,1,,,,,,,
중앙,37.315941,126.838573,1,,,,,,,
고잔,37.316777,126.823249,1,,,,,,,
초지,37.320646,126.805913,1,,,,,,,
안산,37.327082,126.788532,1,,,,,,,
신길온천,37.338212,126.765844,1,,,,,,,
정왕,37.351735,126.742989,1,,,,,,,
수리산,37.349801,126.925365,1,,,,,,,
개봉,37.494594,126.85868,1,,,,,,,
오류동,37.494526,126.845365,1,,,,,,,
역곡,37.485178,126.811502,1,,,,,,,
부천,37.48405,126.782686,1,,,,,,,
송내,37.4876,126.753664,1,,,,,,,
백운,37.483664,126.707704,1,,,,,,,
동암,37.471408,126.702896,1,,,,,,,
제물포,37.466769,126.656666,1,,,,,,,
동인천,37.475276,126.632802,1,,,,,,,
부개,37.488418,126.74109,1,,,,,,,
간석,37.464737,126.694181,1,,,,,,,
도원,37.468446,126.642706,1,,,,,,,
중동,37.486562,126.764843,1,,,,,,,
도화,37.46607,126.668672,1,,,,,,,
서울숲,37.543617,127.044707,1,,,,,,,
압구정로데오,37.527381,127.040534,1,,,,,,,
소사,37.482753,126.79544,1,,,,,,,
가천대,37.448605,127.126697,1,,,,,,,
태평,37.440019,127.127709,1,,,,,,,
서현,37.385126,127.123592,1,,,,,,,
수내,37.378455,127.114322,1,,,,,,,
미금,37.350077,127.10891,1,,,,,,,
오리,37.339824,127.108942,1,,,,,,,
보정,37.312752,127.108196,1,,,,,,,
죽전,37.324753,127.107395,1,,,,,,,
신갈,37.286102,127.111313,1,,,,,,,
상갈,37.26181,127.108847,1,,,,,,,
청명,37.259489,127.078934,1,,,,,,,
영통,37.251568,127.071394,1,,,,,,,
망포,37.245795,127.057353,1,,,,,,,
매탄권선,37.252759,127.040566,1,,,,,,,
수원시청,37.261911,127.030736,1,,,,,,,
매교,37.265481,127.015678,1,,,,,,,
월곶,37.391769,126.742699,1,,,,,,,
소래포구,37.40095,126.733522,1,,,,,,,
인천논현,37.400614,126.722478,1,,,,,,,
호구포,37.401637,126.708627,1,,,,,,,
남동인더스파크,37.407722,126.695216,1,,,,,,,
연수,37.417804,126.67894,1,,,,,,,
송도,37.428514,126.657772,1,,,,,,,
신포,37.46874,126.623853,1,,,,,,,
방학,37.667503,127.044273,1,,,,,,,
도봉,37.679563,127.045595,1,,,,,,,
망월사,37.709914,127.047455,1,,,,,,,
의정부,37.738415,127.045958,1,,,,,,,
가능,37.748577,127.044213,1,,,,,,,
녹양,37.75938,127.042292,1,,,,,,,
양주,37.774381,127.044708,1,,,,,,,
덕계,37.818486,127.056486,1,,,,,,,
덕정,37.843188,127.061277,1,,,,,,,
지행,37.892334,127.055716,1,,,,,,,
동두천중앙,37.901885,127.056482,1,,,,,,,
보산,37.913702,127.057277,1,,,,,,,
동두천,37.927878,127.05479,1,,,,,,,
소요산,37.9481,127.061034,1,,,,,,,
원당,37.653324,126.843041,1,,,,,,,
백석,37.643114,126.78787,1,,,,,,,
마두,37.652206,126.77762,1,,,,,,,
정발산,37.659477,126.773359,1,,,,,,,
주엽,37.670072,126.761334,1,,,,,,,
대화,37.676087,126.747569,1,,,,,,,
방화,37.577446,126.812741,1,,,,,,,
개화산,37.572399,126.806171,1,,,,,,,
송정,37.561184,126.811973,1,,,,,,,
마곡,37.560183,126.825448,1,,,,,,,
발산,37.558598,126.837668,1,,,,,,,
우장산,37.548768,126.836318,1,,,,,,,
화곡,37.541513,126.840461,1,,,,,,,
신정,37.524997,126.856191,0,,,,,,,
목동,37.526065,126.864931,1,,,,,,,
오목교,37.524496,126.875181,0,,,,,,,
양평,37.525648,126.885778,2,,,,,,,
여의나루,37.527098,126.932901,1,,,,,,,
마포,37.539574,126.945932,1,,,,,,,
애오개,37.553736,126.95682,1,,,,,,,
서대문,37.565773,126.966641,1,,,,,,,
광화문,37.571026,126.976669,0,,,,,,,
신금호,37.554548,127.020331,1,,,,,,,
행당,37.557322,127.029476,1,,,,,,,
마장,37.5661,127.042973,1,,,,,,,
답십리,37.566747,127.052704,1,,,,,,,
장한평,37.56144,127.064623,1,,,,,,,
아차산,37.551691,127.089761,0,,,,,,,
광나루,37.545303,127.10357,0,,,,,,,
강동,37.535804,127.132481,1,,,,,,,
길동,37.537801,127.140004,1,,,,,,,
굽은다리,37.545477,127.142853,0,,,,,,,
명일,37.55137,127.143999,1,,,,,,,
고덕,37.555004,127.154151,1,,,,,,,
둔촌동,37.527788,127.136248,1,,,,,,,
올림픽공원,37.516078,127.130848,0,,,,,,,
방이,37.508857,127.126133,1,,,,,,,
개롱,37.498079,127.13482,1,,,,,,,
거여,37.493105,127.14415,1,,,,,,,
마천,37.49499,127.152781,1,,,,,,,
응암,37.598605,126.915577,1,,,,,,,
역촌,37.606021,126.922744,1,,,,,,,
독바위,37.618456,126.933031,1,,,,,,,
구산,37.611377,126.91727,1,,,,,,,
새절,37.591148,126.913629,0,,,,,,,
증산,37.583876,126.909645,0,,,,,,,
월드컵경기장,37.569532,126.899298,0,,,,,,,
마포구청,37.563515,126.903343,1,,,,,,,
망원,37.556094,126.910052,1,,,,,,,
상수,37.547716,126.922852,1,,,,,,,
광흥창,37.547456,126.931993,0,,,,,,,
대흥,37.547771,126.942069,0,,,,,,,
녹사평,37.534675,126.986695,0,,,,,,,
이태원,37.534488,126.994302,1,,,,,,,
한강진,37.539631,127.001725,1,,,,,,,
버티고개,37.548013,127.007055,1,,,,,,,
창신,37.579661,127.015241,1,,,,,,,
안암,37.586272,127.029005,0,,,,,,,
고려대,37.590508,127.036296,0,,,,,,,
월곡,37.601948,127.041518,0,,,,,,,
상월곡,37.606377,127.048491,0,,,,,,,
돌곶이,37.610537,127.056431,1,,,,,,,
화랑대,37.620064,127.084689,0,,,,,,,
봉화산,37.617283,127.091401,0,,,,,,,
장암,37.700109,127.053196,1,,,,,,,
수락산,37.67785,127.055315,1,,,,,,,
마들,37.66494,127.057675,1,,,,,,,
중계,37.644583,127.064303,1,,,,,,,
하계,37.636352,127.06799,1,,,,,,,
먹골,37.610637,127.077725,1,,,,,,,
중화,37.602545,127.079264,1,,,,,,,
면목,37.588579,127.087503,1,,,,,,,
사가정,37.580894,127.088478,1,,,,,,,
용마산,37.573647,127.086727,1,,,,,,,
중곡,37.565923,127.08432,1,,,,,,,
어린이대공원,37.548014,127.074658,0,,,,,,,
뚝섬유원지,37.53154,127.066704,1,,,,,,,
청담,37.519365,127.05335,1,,,,,,,
학동,37.514229,127.031656,1,,,,,,,
논현,37.511093,127.021415,1,,,,,,,
반포,37.508178,127.011727,1,,,,,,,
내방,37.487618,126.993513,1,,,,,,,
남성,37.484596,126.971251,1,,,,,,,
숭실대입구,37.496029,126.953822,0,,,,,,,
장승배기,37.504898,126.93915,1,,,,,,,
신대방삼거리,37.499701,126.928276,1,,,,,,,
보라매,37.499872,126.920428,1,,,,,,,
신풍,37.50008,126.90993,1,,,,,,,
남구로,37.486056,126.887249,1,,,,,,,
철산,37.47605,126.867911,1,,,,,,,
광명사거리,37.479252,126.854876,1,,,,,,,
천왕,37.486637,126.838713,1,,,,,,,
까치울,37.506207,126.810939,1,,,,,,,
부천종합운동장,37.50538,126.797337,1,,,,,,,
춘의,37.503663,126.787036,1,,,,,,,
신중동,37.503048,126.77596,1,,,,,,,
부천시청,37.504631,126.763538,1,,,,,,,
상동,37.505781,126.753083,1,,,,,,,
삼산체육관,37.506411,126.742153,1,,,,,,,
굴포천,37.506997,126.73128,1,,,,,,,
암사,37.55021,127.127562,1,,,,,,,
강동구청,37.530341,127.120508,1,,,,,,,
몽촌토성,37.517409,127.112359,0,,,,,,,
석촌,37.505431,127.106979,1,,,,,,,
송파,37.499703,127.112183,1,,,,,,,
문정,37.485855,127.1225,1,,,,,,,
장지,37.478703,127.126191,1,,,,,,,
산성,37.457122,127.149908,1,,,,,,,
남한산성입구,37.451535,127.159816,0,,,,,,,
단대오거리,37.44521,127.156866,1,,,,,,,
신흥,37.440918,127.147564,1,,,,,,,
수진,37.437428,127.140722,1,,,,,,,
귤현,37.566379,126.742654,0,,,,,,,
임학,37.545059,126.738665,0,,,,,,,
계산,37.543238,126.728128,0,,,,,,,
경인교대입구,37.538157,126.722597,0,,,,,,,
작전,37.530415,126.722527,0,,,,,,,
갈산,37.517268,126.721514,0,,,,,,,
부평시장,37.498383,126.722244,0,,,,,,,
동수,37.485312,126.718247,0,,,,,,,지평
부평삼거리,37.477679,126.710208,0,,,,,,,용문
간석오거리,37.467048,126.707938,0,,,,,,,원덕
예술회관,37.449396,126.701012,0,,,,,,,양평
인천터미널,37.442383,126.699706,0,,,,,,,오빈
문학경기장,37.434935,126.698579,0,,,,,,,아신
선학,37.426684,126.698863,0,,,,,,,국수
신연수,37.41804,126.693863,0,,,,,,,신원
동춘,37.404737,126.681015,0,,,,,,,양수
동막,37.397878,126.674005,0,,,,,,,운길산
캠퍼스타운,37.387855,126.661673,0,,,,,,,팔당
테크노파크,37.382268,126.656365,0,,,,,,,도심
지식정보단지,37.378384,126.645168,0,,,,,,,덕소
인천대입구,37.386007,126.639484,0,,,,,,,양정
검단오류,37.594877,126.627178,0,,,,,,,도농
왕길,37.59518,126.642696,0,,,,,,,구리
검단사거리,37.60185,126.657108,,,,,,,,양원
마전,37.597566,126.666998,,,,,,,,망우
독정,37.585212,126.675844,,,,,,,,상봉(시외버스터미널)
검바위,37.561405,126.677566,,,,,,,,중랑
아시아드경기장,37.5517,126.677122,,,,,,,,회기
서구청,37.543742,126.676787,,,,,,,,신창(순천향대)
가정,37.524649,126.675539,,,,,,,,온양온천
가정중앙시장,37.517054,126.676672,,,,,,,,배방
석남,37.506193,126.676203,,,,,,,,아산
서부여성회관,37.506193,126.676203,,,,,,,,쌍용(나사렛대)
인천가좌,37.4897,126.675208,,,,,,,,봉명
가재울,37.484192,126.683673,,,,,,,,대화
주안국가산단,37.473703,126.68113,,,,,,,,주엽
시민공원,37.458335,126.681192,,,,,,,,정발산
석천사거리,37.456805,126.709986,,,,,,,,마두
모래내시장,37.45583,126.719298,,,,,,,,백석
만수,37.454911,126.732094,,,,,,,,대곡
남동구청,37.448161,126.736939,,,,,,,,화정
인천대공원,37.448769,126.752618,,,,,,,,원당
운연,37.440127,126.75997,,,,,,,,삼송
개화,37.578608,126.798153,,,,,,,,원흥
공항시장,37.563726,126.810678,,,,,,,,신설동
신방화,37.567532,126.816601,,,,,,,,보문
마곡나루,37.567336,126.829497,,,,,,,,성신여대입구(돈암)
양천향교,37.568381,126.841333,,,,,,,,정릉
가양,37.561391,126.854456,,,,,,,,북한산보국문
증미,37.557402,126.861939,,,,,,,,솔샘
등촌,37.550632,126.865689,,,,,,,,삼양사거리
염창,37.546936,126.874916,,,,,,,,삼양
신목동,37.544277,126.88308,,,,,,,,화계
선유도,37.53802,126.893525,,,,,,,,가오리
국회의사당,37.528105,126.917874,,,,,,,,4.19민주묘지
샛강,37.517274,126.928422,,,,,,,,솔밭공원
노들,37.512887,126.953222,,,,,,,,북한산우이
흑석,37.50877,126.963708,,,,,,,,수리산
구반포,37.501364,126.987332,,,,,,,,오이도
신반포,37.503415,126.995925,,,,,,,,정왕
사평,37.504206,127.015259,,,,,,,,신길온천
신논현,37.504598,127.02506,,,,,,,,안산
언주,37.507287,127.033868,,,,,,,,초지
삼성중앙,37.513011,127.053282,,,,,,,,고잔
봉은사,37.514219,127.060245,,,,,,,,중앙
청라국제도시,37.555878,126.625327,,,,,,,,한대앞
운서,37.492904,126.49379,,,,,,,,상록수
공항화물청사,37.458366,126.476241,,,,,,,,반월
인천국제공항,37.447464,126.452508,,,,,,,,대야미
영종,37.511466,126.5237,,,,,,,,산본
양재시민의숲,37.470023,127.03842,,,,,,,,인천
김량장,37.237247,127.198781,,,,,,,,신포
운동장·송담대,37.237845,127.209198,,,,,,,,숭의
고진,37.24484,127.214251,,,,,,,,인하대
보평,37.258965,127.218457,,,,,,,,송도
둔전,37.267051,127.21364,,,,,,,,연수
전대·에버랜드,37.285342,127.219561,,,,,,,,원인재
발곡,37.727048,127.052803,,,,,,,,남동인더스파크
범골,37.728755,127.04353,,,,,,,,호구포
경전철의정부,37.737202,127.043257,,,,,,,,인천논현
의정부시청,37.739256,127.034781,,,,,,,,소래포구
흥선,37.743302,127.037023,,,,,,,,월곶
의정부중앙,37.743676,127.049565,,,,,,,,달월
동오,37.745271,127.056947,,,,,,,,매교
새말,37.748885,127.06362,,,,,,,,수원시청
경기도청북부청사,37.75059,127.071495,,,,,,,,매탄권선
효자,37.754025,127.076902,,,,,,,,망포
곤제,37.750471,127.083715,,,,,,,,영통
어룡,37.742802,127.085035,,,,,,,,청명
송산,37.737279,127.087159,,,,,,,,상갈
솔밭공원,,,,,,,,,,기흥
삼양,,,,,,,,,,신갈
삼양사거리,,,,,,,,,,구성
솔샘,,,,,,,,,,죽전
북한산보국문,,,,,,,,,,보정
정릉,,,,,,,,,,이매
동천,37.337928,127.102976,,,,,,,,오리
수지구청,37.322702,127.095026,,,,,,,,미금
성복,37.313335,127.0801,,,,,,,,정자
상현,37.297664,127.069342,,,,,,,,수내
광교중앙,37.288617,127.051478,,,,,,,,서현
광교,37.30211,127.044483,,,,,,,,야탑
강남대,37.270161,127.126033,,,,,,,,모란
지석,37.269606,127.136515,,,,,,,,태평
어정,37.274917,127.143714,,,,,,,,가천대
동백,37.269043,127.152716,,,,,,,,선정릉
초당,37.260752,127.159443,,,,,,,,강남구청
삼가,37.242115,127.168075,,,,,,,,압구정로데오
시청·용인대,37.239151,127.178406,,,,,,,,서울숲
명지대,37.237964,127.190294,,,,,,,,수원
,,,,,,,,,,수서
,,,,,,,,,,대모산입구
,,,,,,,,,,개포동
,,,,,,,,,,구룡
,,,,,,,,,,도곡
,,,,,,,,,,한티
,,,,,,,,,,선릉
,,,,,,,,,,범계
,,,,,,,,,,평촌
,,,,,,,,,,인덕원
